Heure de Debut,Heure de Fin,Resume,Lieu,Groupe
2022-01-10 08:15:00,2022-01-10 11:15:00,Transmission large bande,RT-Labo Telecoms 1,RT2Hamming
2021-10-04 14:00:00,2021-10-04 16:00:00,Matrices et graphes,RT-Salle-TD4,RT2Dijkstra RT2Hamming
2021-10-08 11:30:00,2021-10-08 15:30:00,DS TP Initiation réseaux,RT-Labo reseaux 1,RT1Shannon1 RT1Shannon2
2021-12-15 09:15:00,2021-12-15 11:15:00,PortFolio - CISCO,RT-Labo Informatique 2,RT1Huffman
2021-10-08 07:15:00,2021-10-08 10:15:00,Transmissions guidées,RT-Labo Telecoms 2,RT2Dijkstra
2022-01-11 09:15:00,2022-01-11 11:15:00,Gestion de projet,RT-Salle Labo Visio,RT1App
2021-10-22 08:15:00,2021-10-22 10:15:00,Applications informatiques,RT-Labo Informatique 2,RT2Hamming RT2Dijkstra
2021-11-08 13:00:00,2021-11-08 15:00:00,Fondamentaux de la programmation,RT-Labo Informatique 3,TDFourier
2021-10-28 08:15:00,2021-10-28 10:15:00,Matrices et graphes,RT-Salle-TD3,RT2App
2021-10-20 14:00:00,2021-10-20 16:00:00,Fondamentaux de la programmation,RT-Labo Informatique 1,RT1Shannon2 RT1Shannon1
2022-01-06 12:30:00,2022-01-06 15:30:00,Supports de transmission pour les réseaux locaux,RT-Labo Telecoms 2,RT1App
2021-10-11 06:15:00,2021-10-11 10:15:00,Technologies d'accès,RT-Labo Telecoms 1,RT2App
2021-10-26 12:00:00,2021-10-26 16:00:00,Fondamentaux de la programmation,RT-Labo Informatique 1,RT1Huffman
2021-10-14 08:15:00,2021-10-14 10:15:00,Electronique,RT-Salle-TD2,TDFourier
2022-01-14 12:30:00,2022-01-14 16:30:00,SAE13: Telecommunication,RT-Labo Telecoms 2,RT1Huffman
2022-01-25 07:15:00,2022-01-25 09:15:00,Sources de données,RT-Salle-TD2,TDFourier
2021-09-24 06:15:00,2021-09-24 10:15:00,Technologies d'accès,RT-Labo Telecoms 1,RT2Dijkstra
2022-01-04 09:15:00,2022-01-04 11:15:00,SAE13: Telecommunication,RT-Salle-TD2,TDFourier
2022-02-11 12:30:00,2022-02-11 16:15:00,LINUX,RT-Labo Informatique 3,
2021-09-27 06:15:00,2021-09-27 08:15:00,Mathématiques du signal,RT-Salle-TD1,TDFourier
2021-10-19 12:00:00,2021-10-19 14:00:00,Réseaux opérateurs SM,RT-Labo Telecoms 1,RT2Hamming
2021-09-24 06:15:00,2021-09-24 10:15:00,SAE11: Cybersécurité,RT-Labo Informatique 3,RT1Shannon1 RT1Shannon2
2021-09-08 14:00:00,2021-09-08 16:00:00,Introduction aux technologies Web,"RT-Labo Informatique 1,RT-Labo Informatique 2",TDBell
2021-10-15 11:30:00,2021-10-15 14:30:00,Electromagnétisme,RT-Labo Electronique 1,RT2App
2022-01-03 09:15:00,2022-01-03 11:15:00,SAE13: Telecommunication,RT-Salle-TD1,TDBell
2022-01-05 07:15:00,2022-01-05 11:15:00,SAE15: Traiter des données,RT-Labo Informatique 2,RT1Turing
2021-12-16 12:30:00,2021-12-16 16:30:00,Réseaux locaux et équipements actifs,RT-Labo reseaux 2,RT1App
2021-11-17 07:15:00,2021-11-17 11:15:00,Applications informatiques,RT-Labo Informatique 2,RT2Hamming
2021-11-25 07:15:00,2021-11-25 09:15:00,Architecture des systèmes numériques et informatiques,"RT-Labo Informatique 1,TEAMS",TDFourier
2021-10-27 12:00:00,2021-10-27 16:00:00,Fondamentaux de la programmation,RT-Labo Informatique 3,RT1Shannon2 RT1Shannon1
2021-12-06 07:15:00,2021-12-06 11:15:00,Fondamentaux de la programmation,RT-Labo Informatique 3,RT1App
2022-02-08 13:00:00,2022-02-08 15:00:00,Technologie de l'internet,RT-Amphi,TDBell TDFourier
2021-09-17 06:15:00,2021-09-17 08:15:00,Projet Personnel et Professionnel,RT-Labo Informatique 1,TDBell
2021-12-17 07:15:00,2021-12-17 11:00:00,BDD : ADMINISTRATION,RT-Labo Informatique 1,
2021-09-28 08:15:00,2021-09-28 10:15:00,Initiation réseaux,"RT-Labo Informatique 3,RT-Labo Informatique 2",TDBell
2021-11-12 12:30:00,2021-11-12 16:30:00,Gestion d'annuaires unifiés,RT-Labo Informatique 2,RT2Hamming
2022-01-06 09:15:00,2022-01-06 11:15:00,SAE14: Se présenter sur Internet,RT-Labo Informatique 2,TDFourier
2021-09-23 08:15:00,2021-09-23 10:15:00,Transmission large bande,RT-Salle-TD4,RT2-S3
2021-10-15 11:30:00,2021-10-15 15:30:00,Bases des systèmes d'exploitation,RT-Labo Informatique 3,RT1Shannon2 RT1Shannon1
2022-02-03 09:15:00,2022-02-03 11:15:00,Signaux et systèmes pour les transmissions,RT-Salle-TD2,TDFourier
2021-12-13 07:15:00,2021-12-13 09:15:00,CM Cryptographie,RT-Salle-TD1,
2022-01-10 13:00:00,2022-01-10 17:00:00,Réseaux opérateurs MR,RT-Labo reseaux 1,RT2Hamming
2021-11-24 13:00:00,2021-11-24 15:00:00,Expression Culture Communications professionnelles,RT-Salle-TD1,RT1Huffman
2021-12-09 07:15:00,2021-12-09 09:15:00,Anglais,RT-Labo Informatique 2,RT2Dijkstra
2021-09-17 06:15:00,2021-09-17 10:15:00,Expression Culture Comm pro - Outils info,BIBLIOTHEQUE UNIVERSITAIRE OU TEAMS,RT1Turing
2021-11-18 14:30:00,2021-11-18 16:30:00,Fondamentaux de la programmation,RT-Labo Informatique 3,RT1App
2021-09-20 06:15:00,2021-09-20 08:15:00,Transmissions guidées,RT-Salle-TD3,RT2App
2021-09-20 15:00:00,2021-09-20 16:00:00,EXAMEN CISCO,RT-Labo Informatique 1,RT2Hamming
2021-09-30 13:30:00,2021-09-30 15:30:00,Anglais général,RT-Labo Informatique 2,RT1App
2021-10-07 06:15:00,2021-10-07 10:15:00,Fondamentaux de la programmation,RT-Labo Informatique 2,RT1Huffman
2021-11-08 08:15:00,2021-11-08 11:15:00,Fondamentaux de la programmation,RT-Labo Informatique 3,RT1Huffman
2021-10-04 12:00:00,2021-10-04 14:00:00,Mathématiques des transmissions,"RT-Amphi,RT-Salle-TD2,RT-Salle-TD1",RT1-S1
2021-11-29 13:00:00,2021-11-29 16:00:00,Electronique,RT-Labo Electronique 1,RT1Turing
2022-01-04 09:15:00,2022-01-04 11:15:00,Mathématiques des transmissions,RT-Salle Labo Visio,RT1App
2022-01-13 12:30:00,2022-01-13 14:30:00,SAE14: Se présenter sur Internet,RT-Salle Labo Visio,RT1App
2021-09-15 07:15:00,2021-09-15 10:15:00,Introduction aux technologies Web,RT-Labo Informatique 2,RT1Turing
2021-12-07 09:15:00,2021-12-07 10:45:00,SAE12: Réseaux,RT-Salle-TD2,TDFourier
2022-01-25 09:15:00,2022-01-25 11:15:00,Signaux et systèmes pour les transmissions,RT-Amphi,RT1-S2
2022-02-16 07:15:00,2022-02-16 11:15:00,Administration système,RT-Labo Informatique 2,RT1Huffman
2022-01-14 07:15:00,2022-01-14 11:15:00,SAE15: Traiter des données,RT-Labo Informatique 1,RT1Huffman
2021-09-30 08:15:00,2021-09-30 10:15:00,Anglais général,RT-Labo Informatique 2,RT1Shannon2 RT1Shannon1
2022-01-27 09:15:00,2022-01-27 11:15:00,Technologie de l'internet,RT-Salle-TD1,RT1Huffman RT1Shannon2
2021-11-15 15:00:00,2021-11-15 17:00:00,Réseaux locaux et équipements actifs PKT,"RT-Labo Informatique 2,RT-Labo reseaux 1",TDFourier
2021-09-16 06:15:00,2021-09-16 08:15:00,Transmission large bande,RT-Salle-TD3,RT2App
2022-02-11 12:30:00,2022-02-11 16:30:00,Technologie de l'internet,RT-Labo reseaux 1,RT1Shannon2 RT1Shannon1
2021-10-01 06:15:00,2021-10-01 08:15:00,Bases des systèmes d'exploitation,RT-Labo Informatique 1,RT1Shannon2 RT1Shannon1
2022-02-18 12:30:00,2022-02-18 16:30:00,Technologie de l'internet,RT-Labo reseaux 1,RT1Turing
2021-12-16 12:30:00,2021-12-16 16:15:00,Systèmes et stockage virtualisés,Pôle formation (Monéteau),
2021-10-20 14:00:00,2021-10-20 16:00:00,Anglais général,RT-Salle-TD2,RT1App
2022-01-12 12:30:00,2022-01-12 14:30:00,Gestion de projet,RT-Salle Labo Visio,RT1App
2022-01-18 13:00:00,2022-01-18 17:00:00,SAE15: Traiter des données,RT-Labo Informatique 2,RT1Turing
2021-10-15 06:15:00,2021-10-15 08:15:00,Fondamentaux de la programmation,RT-Salle Labo Visio,RT1App
2022-02-09 12:30:00,2022-02-09 16:15:00,Gestion - Analyse des coûts,RT-Salle-TD3,
2021-10-01 06:15:00,2021-10-01 10:15:00,Technologies d'accès,RT-Labo Telecoms 1,RT2Hamming
2021-12-08 07:15:00,2021-12-08 11:00:00,BDD : ADMINISTRATION,RT-Labo Informatique 1,
2021-09-20 12:00:00,2021-09-20 14:00:00,Expression Culture Comm pro - Outils info,GC-ISAT R10 Info petite,RT1App
2021-09-01 07:00:00,2021-09-01 08:00:00,Rentrée RT2,RT-Salle-TD4,RT2Dijkstra RT2Hamming
2022-02-10 14:30:00,2022-02-10 16:30:00,TP Solutions métier,RT-Labo reseaux 1,
2021-11-17 13:00:00,2021-11-17 15:00:00,Expression Culture Communications professionnelles,RT-Salle-TD1,RT1Huffman
2021-10-06 06:15:00,2021-10-06 10:15:00,Initiation réseaux,RT-Labo Informatique 3,RT1App
2021-12-13 13:00:00,2021-12-13 15:00:00,SAE12: Réseaux,RT-Salle Labo Visio,RT1App
2021-10-18 12:00:00,2021-10-18 14:00:00,Transmission large bande,RT-Labo Telecoms 1,RT2Dijkstra
2022-02-10 07:15:00,2022-02-10 09:15:00,Analyse et traitement de données structurées,RT-Salle-TD1,RT1Huffman RT1Shannon2 TDBell
2021-10-11 11:30:00,2021-10-11 15:15:00,Evaluation performative,Pôle formation (Monéteau),RT-LP
2022-01-20 07:15:00,2022-01-20 11:15:00,SAE15: Traiter des données,RT-Labo Informatique 2,RT1Turing
2021-10-05 12:00:00,2021-10-05 14:00:00,Technologies d'accès,RT-Labo Telecoms 1,RT2Dijkstra
2021-11-09 15:00:00,2021-11-09 17:00:00,Expression Culture Comm pro - Outils info,GC-ISAT 111 Info,RT1App
2022-01-28 07:15:00,2022-01-28 09:15:00,Signaux et systèmes pour les transmissions,RT-Salle-TD2,TDFourier
2021-11-08 13:00:00,2021-11-08 17:00:00,Fondamentaux de la programmation,RT-Labo Informatique 1,RT1App
2021-09-06 07:00:00,2021-09-06 08:00:00,Rentrée RT2app,RT-Salle-TD3,RT2App
2021-11-24 15:00:00,2021-11-24 17:00:00,Réunion stage,RT-Salle-TD4,RT2Dijkstra RT2Hamming
2022-01-12 13:00:00,2022-01-12 17:00:00,SAE14: Se présenter sur Internet,RT-Labo Informatique 3,RT1Shannon1 RT1Shannon2
2021-09-24 07:15:00,2021-09-24 10:15:00,Transmissions guidées,RT-Labo Telecoms 2,RT2Hamming
2021-11-29 13:00:00,2021-11-29 15:00:00,Infrastructure sans fil,RT-Labo Telecoms 1,RT2App
2021-11-12 07:15:00,2021-11-12 11:15:00,Réseaux opérateurs SM,RT-Labo Telecoms 1,RT2Dijkstra
2022-01-12 13:00:00,2022-01-12 16:00:00,Réseaux cellulaires,RT-Labo Informatique 1,RT2Hamming
2021-09-29 12:00:00,2021-09-29 16:00:00,Expression Culture Comm pro - Outils info,GC-ISAT R10 Info petite,RT1Shannon2 RT1Shannon1
2022-01-25 13:00:00,2022-01-25 15:00:00,Sources de données,RT-Salle-TD1,TDBell
2021-11-17 07:15:00,2021-11-17 09:15:00,Anglais général,RT-Labo Informatique 1,RT1Shannon2 RT1Shannon1
2022-01-20 09:15:00,2022-01-20 11:15:00,DS Réseaux cellulaires,RT-Amphi,RT2Hamming RT2Dijkstra RT2-S4
2022-02-08 15:00:00,2022-02-08 17:00:00,Analyse et traitement de données structurées,RT-Salle-TD2,RT1Shannon1 RT1Turing TDFourier
2022-01-06 09:15:00,2022-01-06 11:15:00,Supports de transmission pour les réseaux locaux,RT-Salle-TD1,TDBell
2021-10-25 12:00:00,2021-10-25 14:00:00,Mathématiques des transmissions,"RT-Amphi,RT-Salle-TD2,RT-Salle-TD1",RT1-S1
2021-11-26 12:30:00,2021-11-26 15:30:00,Electronique,RT-Labo Electronique 1,RT1Huffman
2021-12-07 09:15:00,2021-12-07 11:15:00,CM Supervision et sécurisation du SI,RT-Amphi,
2021-12-17 12:30:00,2021-12-17 16:30:00,Architecture des systèmes numériques et informatiques,RT-Labo Informatique 1,RT1Shannon1 RT1Shannon2
2021-12-15 15:00:00,2021-12-15 17:00:00,Architecture des systèmes numériques et informatiques,RT-Labo Informatique 2,RT1App
2021-12-07 13:00:00,2021-12-07 17:00:00,Réseaux locaux et équipements actifs,RT-Labo reseaux 2,RT1Turing
2021-10-29 06:15:00,2021-10-29 10:15:00,Applications informatiques,RT-Labo Informatique 2,RT2Dijkstra
2022-01-03 07:15:00,2022-01-03 11:00:00,Administration Active Directory,Pôle formation (Monéteau),RT-LP
2021-12-07 09:15:00,2021-12-07 11:15:00,Services réseaux avancés,RT-Salle-TD4,RT2Dijkstra RT2Hamming
2021-09-24 11:30:00,2021-09-24 15:30:00,SAE11: Cybersécurité,RT-Labo Informatique 2,RT1Huffman
2022-01-06 07:15:00,2022-01-06 09:15:00,Supports de transmission pour les réseaux locaux,RT-Salle Labo Visio,RT1App
2021-10-08 11:30:00,2021-10-08 15:30:00,Fondamentaux de la programmation,RT-Labo Informatique 1,RT1Huffman
2021-09-20 07:00:00,2021-09-20 10:00:00,Visite Orange - Fibre Optique,,RT2Dijkstra
2021-10-26 06:15:00,2021-10-26 08:15:00,Mathématiques des transmissions,RT-Salle-TD2,TDFourier
2021-11-12 12:30:00,2021-11-12 14:30:00,Réseaux opérateurs SM,RT-Labo Telecoms 1,RT2Dijkstra
2021-12-08 15:00:00,2021-12-08 17:00:00,Architecture des systèmes numériques et informatiques,"RT-Salle Info CAO,TEAMS",TDBell
2022-01-14 07:15:00,2022-01-14 11:15:00,Gestion de projet,RT-Labo Informatique 3,RT1Shannon2 RT1Shannon1
2021-10-22 11:30:00,2021-10-22 13:30:00,Technologies d'accès,RT-Labo Telecoms 1,RT2App
2021-11-16 09:15:00,2021-11-16 11:15:00,Expression Culture Communications professionnelles,RT-Salle Labo Visio,RT1App
2021-10-20 14:00:00,2021-10-20 16:00:00,Communication,RT-Salle-TD4,RT2App
2021-10-06 14:00:00,2021-10-06 16:00:00,Communication,RT-Salle-TD4,RT2Dijkstra RT2Hamming
2021-12-01 07:15:00,2021-12-01 08:45:00,DS TP Infrastructure sans fil,RT-Labo Telecoms 1,RT2App
2021-10-19 12:00:00,2021-10-19 14:00:00,Principes et architecture des réseaux,"RT-Salle-TD2,RT-Amphi,RT-Salle-TD1",RT1-S1
2021-10-27 12:00:00,2021-10-27 15:00:00,Principes et architecture des réseaux,RT-Labo reseaux 2,RT1Turing
2022-01-12 13:00:00,2022-01-12 17:00:00,SAE15: Traiter des données,RT-Labo Informatique 2,RT1Turing
2021-12-08 13:00:00,2021-12-08 15:00:00,DS Expression Culture Communications professionnelles,RT-Salle Labo Visio,RT1App
2022-01-03 07:15:00,2022-01-03 09:15:00,SAE15: Traiter des données,RT-Salle-TD1,TDBell
2021-10-21 08:15:00,2021-10-21 10:15:00,Anglais général,RT-Labo Informatique 3,RT1Huffman
2022-02-10 12:30:00,2022-02-10 14:30:00,TP Solutions métier,RT-Labo reseaux 1,
2021-10-20 08:15:00,2021-10-20 10:15:00,Expression Culture Communications professionnelles,RT-Salle-TD2,TDFourier
2022-02-02 07:15:00,2022-02-02 11:15:00,Sources de données,RT-Labo Informatique 2,RT1Turing
2021-12-17 07:15:00,2021-12-17 09:15:00,PortFolio - CISCO,RT-Labo Informatique 3,RT1Turing
2022-01-06 09:15:00,2022-01-06 11:15:00,CM Maintien de la disponibilité,RT-Salle-TD4,
2021-11-16 07:15:00,2021-11-16 11:15:00,Bases des systèmes d'exploitation,RT-Labo Informatique 2,RT1Huffman
2021-09-22 06:15:00,2021-09-22 08:15:00,Communication,RT-Salle-TD4,RT2Dijkstra RT2Hamming
2021-12-10 09:15:00,2021-12-10 11:15:00,CM Hacking éthique,RT-Labo reseaux 1,
2022-02-03 07:15:00,2022-02-03 09:15:00,Signaux et systèmes pour les transmissions,RT-Salle-TD1,TDBell
2022-01-17 09:15:00,2022-01-17 11:15:00,EXAMEN CISCO,RT-Labo Informatique 1,RT2Hamming
2021-10-06 12:00:00,2021-10-06 14:00:00,Expression Culture Communications professionnelles,RT-Salle-TD1,RT1App
2021-12-09 07:15:00,2021-12-09 09:15:00,CM Supervision et sécurisation du SI,RT-Labo reseaux 1,
2021-12-13 09:15:00,2021-12-13 11:15:00,DS Mathématiques du signal,RT-Salle Labo Visio,RT1App
2022-01-05 09:15:00,2022-01-05 11:15:00,DS Anglais,RT-Salle Labo Visio,RT1App
2021-10-20 12:00:00,2021-10-20 16:00:00,Fondamentaux de la programmation,RT-Labo Informatique 3,RT1Turing
2021-10-12 14:00:00,2021-10-12 16:00:00,Projets tuteurés,,RT2Hamming RT2Dijkstra
2021-10-07 06:15:00,2021-10-07 08:15:00,Anglais général,RT-Labo Informatique 1,RT1App
2021-12-13 12:30:00,2021-12-13 14:30:00,TP Cryptographie,RT-Salle-TD1,
2022-01-07 12:30:00,2022-01-07 14:30:00,DS Architecture des systèmes numériques et informatiques,RT-Amphi,RT1-S1
2021-10-20 12:00:00,2021-10-20 14:00:00,Anglais général,RT-Salle-TD2,RT1Shannon2 RT1Shannon1
2021-11-12 08:15:00,2021-11-12 11:15:00,Principes et architecture des réseaux,RT-Labo reseaux 2,RT1Huffman
2022-01-04 07:15:00,2022-01-04 11:15:00,Services réseaux avancés,RT-Labo reseaux 2,RT2Dijkstra
2021-11-16 14:30:00,2021-11-16 16:30:00,CM Supervision et sécurisation du SI,RT-Labo reseaux 1,
2021-09-23 11:30:00,2021-09-23 13:30:00,Anglais,RT-Salle-TD3,RT2App
2021-12-09 08:15:00,2021-12-09 11:15:00,DS TP Fondamentaux de la programmation,RT-Labo Informatique 3,RT1App
2021-12-03 09:15:00,2021-12-03 11:15:00,Supports de transmission pour les réseaux locaux,RT-Amphi,RT1-S1
2022-01-31 07:15:00,2022-01-31 09:15:00,Signaux et systèmes pour les transmissions,RT-Salle-TD2,TDFourier
2021-12-10 07:15:00,2021-12-10 09:15:00,Fibres optiques,RT-Salle-TD4,RT2Hamming RT2Dijkstra
2021-10-01 08:15:00,2021-10-01 10:15:00,SAE11: Cybersécurité,RT-Salle Labo Visio,RT1App
2021-11-15 09:15:00,2021-11-15 11:15:00,Infrastructure sans fil,RT-Salle-TD4,RT2-S3
2022-02-07 07:15:00,2022-02-07 09:15:00,CM Solutions métier,RT-Labo reseaux 1,
2021-09-21 06:15:00,2021-09-21 08:15:00,SAE11: Cybersécurité,RT-Salle-TD1,TDBell
2021-10-01 11:30:00,2021-10-01 13:30:00,Expression Culture Comm pro - Outils info,GC-ISAT R12 Info grande,RT1Turing
2021-10-29 11:30:00,2021-10-29 15:30:00,Applications informatiques,RT-Labo Informatique 3,RT2Hamming
2021-10-20 06:15:00,2021-10-20 08:15:00,Expression Culture Communications professionnelles,RT-Salle-TD1,TDBell
2022-01-07 07:15:00,2022-01-07 09:15:00,CM Maintien de la disponibilité,RT-Salle-TD4,
2021-09-21 11:15:00,2021-09-21 12:00:00,Réunion d'information SUAPS,RT-Amphi,RT1-S1 RT1App
2021-10-22 11:30:00,2021-10-22 15:30:00,Fondamentaux de la programmation,RT-Labo Informatique 2,RT1Shannon2 RT1Shannon1
2021-11-23 13:00:00,2021-11-23 17:00:00,Réseaux locaux et équipements actifs,RT-Labo reseaux 2,RT1Huffman
2021-10-27 06:15:00,2021-10-27 08:15:00,Expression Culture Communications professionnelles,RT-Salle-TD2,TDFourier
2021-09-17 08:15:00,2021-09-17 10:15:00,Transmission large bande,RT-Salle-TD3,RT2App
2022-01-06 07:15:00,2022-01-06 09:15:00,Gestion de projet,RT-Amphi,RT1-S1
2021-10-21 06:15:00,2021-10-21 10:15:00,Fondamentaux de la programmation,RT-Labo Informatique 2,RT1Turing
2021-09-22 11:30:00,2021-09-22 12:00:00,Réunion SEFCA,RT-Salle-TD3,RT2App
2021-09-07 08:15:00,2021-09-07 10:15:00,Technologies d'accès,RT-Salle-TD3,RT2App
2022-01-04 07:15:00,2022-01-04 09:15:00,CM Hacking éthique,RT-Salle-TD3,
2021-12-01 13:00:00,2021-12-01 16:00:00,Administration système,RT-Labo reseaux 1,RT2App
2021-12-06 07:30:00,2021-12-06 09:00:00,DS TP Gestion d'annuaires unifiés,RT-Labo Informatique 1,RT2Dijkstra
2021-09-03 06:15:00,2021-09-03 08:15:00,Transmissions guidées,RT-Amphi,RT2Hamming RT2Dijkstra
2021-09-03 11:30:00,2021-09-03 13:30:00,Scripts avancés,RT-Salle-TD4,RT2Dijkstra RT2Hamming
2021-11-22 13:00:00,2021-11-22 15:00:00,PPP,RT-Labo Informatique 1,RT2Dijkstra RT2Hamming
2021-10-11 06:15:00,2021-10-11 10:15:00,Bases des systèmes d'exploitation,RT-Labo Informatique 3,RT1App
2021-12-16 07:15:00,2021-12-16 11:15:00,SAE12: Réseaux,RT-Labo reseaux 2,RT1Turing
2021-12-15 13:00:00,2021-12-15 15:00:00,Anglais général,RT-Labo Informatique 2,RT1App
2021-09-06 12:00:00,2021-09-06 14:00:00,Matrices et graphes,RT-Salle-TD4,RT2Dijkstra RT2Hamming
2021-09-23 08:15:00,2021-09-23 10:15:00,Introduction aux technologies Web,RT-Salle Info CAO,RT1App
2021-10-22 06:15:00,2021-10-22 10:15:00,Bases des systèmes d'exploitation,RT-Labo Informatique 1,RT1Huffman
2021-09-28 12:00:00,2021-09-28 16:00:00,Scripts avancés,RT-Labo Informatique 3,RT2Dijkstra
2021-11-25 12:30:00,2021-11-25 15:30:00,Electromagnétisme,RT-Labo Informatique 2,RT2App
2022-02-07 12:30:00,2022-02-07 14:30:00,TP Solutions métier,RT-Labo reseaux 1,
2022-02-15 08:15:00,2022-02-15 11:15:00,Signaux et systèmes pour les transmissions,RT-Labo Telecoms 2,RT1Turing
2021-12-10 07:15:00,2021-12-10 11:00:00,VoIP/ToIP - M. SOTOMAYOR,Pôle formation (Monéteau),
2022-01-18 07:15:00,2022-01-18 11:15:00,SAE15: Traiter des données,RT-Labo Informatique 2,RT1Huffman
